,Movie_title,First_Criterion,Second_Criterion,Third_Criterion,release_date,budget,voting,original_language
0,Amour,0.0,0.0,0.0,2012-07-01,8900000.0,7.5,fr
0,The Butterfly Effect,1.0,1.0,1.0,2004-01-22,13000000.0,7.3,en
0,The Relic,1.0,1.0,1.0,1997-01-10,60000000.0,5.8,en
0,Arsenic and Old Lace,1.0,1.0,1.0,1944-09-23,1120175.0,7.4,en
0,Colombiana,1.0,0.0,0.0,2011-07-27,40000000.0,6.5,en
0,Apt Pupil,1.0,1.0,0.0,1998-10-23,14000000.0,6.2,en
0,Two for the Money,1.0,1.0,0.0,2005-10-07,35000000.0,5.9,en
0,The Fugitive,1.0,0.0,0.0,1993-08-06,44000000.0,7.2,en
0,Hannah and Her Sisters,1.0,1.0,1.0,1986-02-07,6400000.0,7.6,en
0,Spanglish,1.0,1.0,1.0,2004-12-17,80000000.0,5.8,en
0,Lost in Translation,1.0,1.0,1.0,2003-08-31,4000000.0,7.3,en
0,GO,0.0,0.0,0.0,2001-10-20,0.0,6.8,ja
0,V for Vendetta,1.0,1.0,1.0,2006-03-15,54000000.0,7.7,en
0,Constantine,1.0,0.0,0.0,2005-02-08,100000000.0,6.6,en
0,True Grit,1.0,0.0,0.0,1969-06-11,0.0,7.3,en
0,Shifty,0.0,0.0,0.0,2009-04-24,0.0,6.0,en
0,Arthur,1.0,0.0,0.0,1981-07-17,7000000.0,6.5,en
0,Big Fish,1.0,1.0,1.0,2003-12-25,70000000.0,7.6,en
0,The Ugly Truth,1.0,1.0,1.0,2009-07-24,38000000.0,6.4,en
0,Extract,1.0,1.0,0.0,2009-09-03,8000000.0,5.7,en
0,Philadelphia,1.0,1.0,1.0,1993-12-22,26000000.0,7.6,en
0,Mystery Men,1.0,0.0,0.0,1999-08-06,68000000.0,5.7,en
0,The Last Samurai,0.0,0.0,0.0,2003-12-05,140000000.0,7.3,en
0,Batman,1.0,0.0,0.0,1989-06-23,35000000.0,7.0,en
0,Jaws,1.0,1.0,0.0,1975-06-18,7000000.0,7.5,en
0,Double Indemnity,1.0,1.0,1.0,1944-04-24,927262.0,8.0,en
0,Sense and Sensibility,1.0,1.0,1.0,1995-12-13,16500000.0,7.2,en
0,The Brothers Bloom,1.0,0.0,0.0,2008-09-09,20000000.0,6.8,en
0,Warm Springs,0.0,0.0,0.0,2005-04-30,0.0,5.8,en
0,Cliffhanger,1.0,0.0,0.0,1993-05-28,70000000.0,6.1,en
0,The Postman,1.0,1.0,1.0,1997-12-25,80000000.0,6.1,en
0,Wind Chill,0.0,0.0,0.0,2007-04-27,6000000.0,5.7,en
0,RockNRolla,1.0,0.0,0.0,2008-09-04,18000000.0,6.9,en
0,The Roommate,1.0,1.0,0.0,2011-02-04,16000000.0,5.3,en
0,Barry Lyndon,1.0,0.0,0.0,1975-12-18,11000000.0,7.7,en
0,Strangers on a Train,1.0,1.0,1.0,1951-06-18,1200000.0,7.6,en
0,Jane Eyre,1.0,1.0,1.0,1996-02-09,0.0,7.1,en
0,Alien Nation,0.0,0.0,0.0,1988-10-07,16000000.0,5.9,en
0,Boogie Nights,1.0,1.0,1.0,1997-09-11,15000000.0,7.5,en
0,Hollow Man,1.0,1.0,1.0,2000-08-04,95000000.0,5.6,en
0,Trainspotting,1.0,1.0,1.0,1996-02-23,4000000.0,7.8,en
0,Machete,1.0,0.0,0.0,2010-09-01,20000000.0,6.3,en
0,The Woodsman,0.0,0.0,0.0,2004-12-24,0.0,6.9,en
0,The Blind Side,1.0,1.0,0.0,2009-11-20,29000000.0,7.2,en
0,A Few Good Men,0.0,0.0,0.0,1992-12-11,40000000.0,7.1,en
0,Blade Runner,1.0,1.0,0.0,1982-06-25,28000000.0,7.9,en
0,Suspect Zero,0.0,0.0,0.0,2004-08-27,27000000.0,5.5,en
0,Breaking Away,1.0,0.0,0.0,1979-05-24,2300000.0,7.4,en
0,The Siege,0.0,0.0,0.0,1998-11-06,70000000.0,6.1,en
0,Cellular,1.0,1.0,1.0,2004-09-06,25000000.0,6.1,en
0,Taking Sides,0.0,0.0,0.0,2001-01-01,0.0,6.1,en
0,The Good Girl,1.0,1.0,0.0,2002-01-12,8000000.0,6.1,en
0,Darkman,1.0,0.0,0.0,1990-08-24,16000000.0,6.2,en
0,The Manchurian Candidate,1.0,0.0,0.0,1962-10-24,80000000.0,7.7,en
0,The Ladykillers,1.0,0.0,0.0,1955-12-08,0.0,7.3,en
0,Pet Sematary,1.0,1.0,1.0,1989-04-21,11500000.0,6.4,en
0,Bad Santa,1.0,1.0,1.0,2003-11-26,23000000.0,6.4,en
0,Take Shelter,1.0,1.0,1.0,2011-11-25,5000000.0,7.1,en
0,The Hills Have Eyes,1.0,1.0,0.0,1977-07-22,230000.0,6.1,en
0,Lone Star,1.0,1.0,1.0,1996-06-21,5000000.0,6.9,en
0,Reservoir Dogs,0.0,0.0,0.0,1992-09-02,1200000.0,8.1,en
0,The Green Mile,1.0,0.0,0.0,1999-12-10,60000000.0,8.2,en
0,Terminator Salvation,1.0,1.0,0.0,2009-05-20,200000000.0,5.9,en
0,Good Will Hunting,1.0,0.0,0.0,1997-12-05,10000000.0,7.9,en
0,Dawn of the Dead,1.0,0.0,0.0,2004-03-19,28000000.0,6.8,en
0,Babel,1.0,1.0,1.0,2006-09-08,25000000.0,6.9,en
0,True Lies,1.0,1.0,1.0,1994-07-14,115000000.0,6.8,en
0,Blade,1.0,1.0,0.0,1998-08-21,45000000.0,6.5,en
0,Above the Law,1.0,0.0,0.0,1988-04-08,7500000.0,5.9,en
0,In the Loop,1.0,1.0,1.0,2009-01-22,0.0,7.0,en
0,Megamind,1.0,0.0,0.0,2010-10-28,130000000.0,6.7,en
0,The Cell,1.0,1.0,1.0,2000-08-17,33000000.0,6.0,en
0,Burlesque,1.0,1.0,1.0,2010-11-23,55000000.0,6.9,en
0,Pariah,1.0,1.0,1.0,2011-12-27,0.0,7.0,en
0,Whiteout,0.0,0.0,0.0,2009-09-09,40000000.0,5.3,en
0,Pretty Woman,1.0,1.0,1.0,1990-03-23,14000000.0,7.0,en
0,Cast Away,1.0,0.0,0.0,2000-12-22,90000000.0,7.5,en
0,Lord of War,0.0,0.0,0.0,2005-09-16,42000000.0,7.0,en
0,Analyze That,1.0,0.0,0.0,2002-12-06,60000000.0,5.7,en
0,The Bourne Ultimatum,1.0,1.0,1.0,2007-08-03,70000000.0,7.3,en
0,Dumb and Dumber,1.0,1.0,1.0,1994-12-16,16000000.0,6.5,en
0,The Imaginarium of Doctor Parnassus,1.0,0.0,0.0,2009-10-01,30000000.0,6.3,en
0,Platoon,0.0,0.0,0.0,1986-12-18,6000000.0,7.5,en
0,Backdraft,1.0,0.0,0.0,1991-05-24,75000000.0,6.4,en
0,Snow White and the Huntsman,1.0,1.0,0.0,2012-05-30,170000000.0,5.8,en
0,Tall in the Saddle,1.0,1.0,1.0,1944-09-29,0.0,5.9,en
0,Jimmy and Judy,0.0,0.0,0.0,2006-01-01,0.0,5.4,en
0,The Island,1.0,0.0,0.0,1980-06-13,0.0,5.2,en
0,Natural Born Killers,1.0,1.0,1.0,1994-08-25,34000000.0,6.9,en
